id,name
website.s_title,标题
website.s_cover,封面
website.s_text_image,文+图
website.s_image_text,图+文
website.s_banner,横幅
website.s_text_block,文本区
website.s_features,亮点
website.s_three_columns,三栏
website.s_picture,图片
website.s_carousel,页脚
website.s_alert,警告
website.s_card,卡片
website.s_share,分享
website.s_rating,评分
website.s_btn,按钮
website.s_hr,分隔线
website.s_facebook_page,脸书
website.s_image_gallery,影集
website.s_comparisons,比较
website.s_company_team,团队
website.s_call_to_action,激活
website.s_references,推荐
website.s_faq_collapse,常见问题
website.s_features_grid,亮点表
website.s_tabs,标签页
website.s_parallax,视差
website.s_quotes_carousel,名言
